trip_id,route_id,service_id,direction_id,shape_id
17_outbound_1,17,daily,0,shape_17
17_outbound_2,17,daily,0,shape_17
17_outbound_3,17,daily,0,shape_17
17_outbound_4,17,daily,0,shape_17
17_outbound_5,17,daily,0,shape_17
17_outbound_6,17,daily,0,shape_17
17_outbound_7,17,daily,0,shape_17
17_outbound_8,17,daily,0,shape_17
17_outbound_9,17,daily,0,shape_17
17_outbound_10,17,daily,0,shape_17
17_outbound_11,17,daily,0,shape_17
17_outbound_12,17,daily,0,shape_17
17_outbound_13,17,daily,0,shape_17
17_outbound_14,17,daily,0,shape_17
17_outbound_15,17,daily,0,shape_17
17_outbound_16,17,daily,0,shape_17
17_outbound_17,17,daily,0,shape_17
17_outbound_18,17,daily,0,shape_17
17_outbound_19,17,daily,0,shape_17
17_outbound_20,17,daily,0,shape_17
17_outbound_21,17,daily,0,shape_17
17_outbound_22,17,daily,0,shape_17
17_outbound_23,17,daily,0,shape_17
17_outbound_24,17,daily,0,shape_17
17_outbound_25,17,daily,0,shape_17
17_outbound_26,17,daily,0,shape_17
17_outbound_27,17,daily,0,shape_17
17_outbound_28,17,daily,0,shape_17
17_outbound_29,17,daily,0,shape_17
17_outbound_30,17,daily,0,shape_17
17_outbound_31,17,daily,0,shape_17
17_outbound_32,17,daily,0,shape_17
17_outbound_33,17,daily,0,shape_17
17_outbound_34,17,daily,0,shape_17
17_outbound_35,17,daily,0,shape_17
17_outbound_36,17,daily,0,shape_17
17_outbound_37,17,daily,0,shape_17
17_outbound_38,17,daily,0,shape_17
17_outbound_39,17,daily,0,shape_17
17_outbound_40,17,daily,0,shape_17
17_outbound_41,17,daily,0,shape_17
17_outbound_42,17,daily,0,shape_17
17_outbound_43,17,daily,0,shape_17
17_outbound_44,17,daily,0,shape_17
17_outbound_45,17,daily,0,shape_17
17_outbound_46,17,daily,0,shape_17
17_outbound_47,17,daily,0,shape_17
17_outbound_48,17,daily,0,shape_17
17_outbound_49,17,daily,0,shape_17
17_outbound_50,17,daily,0,shape_17
17_outbound_51,17,daily,0,shape_17
17_outbound_52,17,daily,0,shape_17
17_outbound_53,17,daily,0,shape_17
17_inbound_54,17,daily,1,shape_17
17_inbound_55,17,daily,1,shape_17
17_inbound_56,17,daily,1,shape_17
17_inbound_57,17,daily,1,shape_17
17_inbound_58,17,daily,1,shape_17
17_inbound_59,17,daily,1,shape_17
17_inbound_60,17,daily,1,shape_17
17_inbound_61,17,daily,1,shape_17
17_inbound_62,17,daily,1,shape_17
17_inbound_63,17,daily,1,shape_17
17_inbound_64,17,daily,1,shape_17
17_inbound_65,17,daily,1,shape_17
17_inbound_66,17,daily,1,shape_17
17_inbound_67,17,daily,1,shape_17
17_inbound_68,17,daily,1,shape_17
17_inbound_69,17,daily,1,shape_17
17_inbound_70,17,daily,1,shape_17
17_inbound_71,17,daily,1,shape_17
17_inbound_72,17,daily,1,shape_17
17_inbound_73,17,daily,1,shape_17
17_inbound_74,17,daily,1,shape_17
17_inbound_75,17,daily,1,shape_17
17_inbound_76,17,daily,1,shape_17
17_inbound_77,17,daily,1,shape_17
17_inbound_78,17,daily,1,shape_17
17_inbound_79,17,daily,1,shape_17
17_inbound_80,17,daily,1,shape_17
17_inbound_81,17,daily,1,shape_17
17_inbound_82,17,daily,1,shape_17
17_inbound_83,17,daily,1,shape_17
17_inbound_84,17,daily,1,shape_17
17_inbound_85,17,daily,1,shape_17
17_inbound_86,17,daily,1,shape_17
17_inbound_87,17,daily,1,shape_17
17_inbound_88,17,daily,1,shape_17
17_inbound_89,17,daily,1,shape_17
17_inbound_90,17,daily,1,shape_17
17_inbound_91,17,daily,1,shape_17
17_inbound_92,17,daily,1,shape_17
17_inbound_93,17,daily,1,shape_17
17_inbound_94,17,daily,1,shape_17
17_inbound_95,17,daily,1,shape_17
17_inbound_96,17,daily,1,shape_17
17_inbound_97,17,daily,1,shape_17
17_inbound_98,17,daily,1,shape_17
17_inbound_99,17,daily,1,shape_17
17_inbound_100,17,daily,1,shape_17
17_inbound_101,17,daily,1,shape_17
17_inbound_102,17,daily,1,shape_17
17_inbound_103,17,daily,1,shape_17
17_inbound_104,17,daily,1,shape_17
17_inbound_105,17,daily,1,shape_17
17_inbound_106,17,daily,1,shape_17
17_inbound_107,17,daily,1,shape_17
17_inbound_108,17,daily,1,shape_17
17_inbound_109,17,daily,1,shape_17
17_inbound_110,17,daily,1,shape_17
87_outbound_111,87,daily,0,shape_87
87_outbound_112,87,daily,0,shape_87
87_outbound_113,87,daily,0,shape_87
87_outbound_114,87,daily,0,shape_87
87_outbound_115,87,daily,0,shape_87
87_outbound_116,87,daily,0,shape_87
87_outbound_117,87,daily,0,shape_87
87_outbound_118,87,daily,0,shape_87
87_outbound_119,87,daily,0,shape_87
87_outbound_120,87,daily,0,shape_87
87_outbound_121,87,daily,0,shape_87
87_outbound_122,87,daily,0,shape_87
87_outbound_123,87,daily,0,shape_87
87_outbound_124,87,daily,0,shape_87
87_outbound_125,87,daily,0,shape_87
87_outbound_126,87,daily,0,shape_87
87_outbound_127,87,daily,0,shape_87
87_outbound_128,87,daily,0,shape_87
87_outbound_129,87,daily,0,shape_87
87_outbound_130,87,daily,0,shape_87
87_outbound_131,87,daily,0,shape_87
87_outbound_132,87,daily,0,shape_87
87_inbound_133,87,daily,1,shape_87
87_inbound_134,87,daily,1,shape_87
87_inbound_135,87,daily,1,shape_87
87_inbound_136,87,daily,1,shape_87
87_inbound_137,87,daily,1,shape_87
87_inbound_138,87,daily,1,shape_87
